user_id,trainer_id,watch_v1,watch_v2,watch_v3,watch_v4,watch_v5,watched_count,rated,score_given,label
10001,677.0,1,0,1,1,1,4,0,0,3
10001,338.0,0,0,1,1,0,2,1,3,3
10001,525.0,1,1,1,0,1,4,1,5,5
10001,340.0,1,1,1,1,1,5,1,5,5
10001,801.0,0,0,1,0,0,1,1,5,5
10001,83.0,0,1,0,0,1,2,1,4,4
10001,425.0,0,1,1,1,0,3,1,5,5
10001,175.0,0,0,0,1,0,1,1,2,2
10001,998.0,1,0,1,0,1,3,1,4,4
10001,534.0,0,1,1,0,1,3,1,5,5
10001,287.0,1,0,0,0,0,1,1,5,5
10001,771.0,1,1,1,1,1,5,1,5,5
10001,593.0,0,1,0,0,1,2,1,4,4
10001,414.0,0,0,1,0,0,1,0,0,1
10001,718.0,0,0,0,0,0,0,1,3,0
10001,184.0,0,0,0,0,0,0,0,0,0
10001,700.0,0,0,0,1,0,1,1,2,2
10001,974.0,0,0,0,1,0,1,0,0,1
10002,677.0,0,1,0,1,0,2,1,5,5
10002,338.0,0,0,0,1,0,1,1,3,3
10002,525.0,0,0,1,1,1,3,1,5,5
10002,83.0,0,0,0,0,0,0,1,3,0
10002,425.0,0,0,0,1,1,2,1,3,3
10002,175.0,1,0,0,0,1,2,1,4,4
10002,534.0,0,0,0,0,0,0,0,0,0
10002,287.0,0,0,0,0,0,0,1,3,0
10002,801.0,1,1,1,1,1,5,1,5,5
10002,593.0,1,1,0,0,1,3,1,4,4
10002,340.0,1,1,1,1,1,5,1,5,5
10002,414.0,0,0,0,0,0,0,0,0,0
10002,718.0,1,0,1,0,1,3,1,5,5
10002,184.0,1,0,0,0,1,2,1,4,4
10002,700.0,0,1,0,0,0,1,1,5,5
10002,974.0,0,1,1,1,1,4,1,4,4
10002,501.0,0,0,1,0,0,1,0,0,1
10002,910.0,0,0,1,1,1,3,1,5,5
10003,677.0,1,1,0,0,1,3,1,4,4
10003,338.0,0,1,1,0,0,2,1,3,3
10003,525.0,1,0,0,0,1,2,1,3,3
10003,801.0,1,1,0,1,0,3,1,5,5
10003,83.0,1,0,1,1,0,3,1,5,5
10003,425.0,0,1,1,1,0,3,1,5,5
10003,175.0,1,1,0,0,0,2,1,3,3
10003,534.0,1,1,0,0,1,3,1,4,4
10003,287.0,0,0,0,0,0,0,0,0,0
10003,181.0,1,1,1,1,1,5,1,5,5
10003,593.0,0,1,0,0,0,1,1,4,4
10003,414.0,1,0,1,1,0,3,1,3,3
10003,718.0,0,0,0,1,0,1,1,3,3
10003,184.0,0,0,0,0,0,0,1,3,0
10003,700.0,0,0,0,1,0,1,1,4,4
10003,974.0,1,0,1,1,0,3,1,2,2
