user_id,trainer_id,watched_count,rated,score_given,overlap_count,jaccard_score,direction_match,label,watch_v1,watch_v2,watch_v3,watch_v4,watch_v5
10001,561,2,0,0,1,0.3333333333333333,1,2,0,1,1,0,0
10001,905,4,1,4,1,0.3333333333333333,1,4,1,1,1,1,0
10001,864,2,0,0,1,1.0,1,2,1,0,0,1,0
10001,568,1,0,0,0,0.0,0,1,0,0,0,0,1
10001,768,1,0,0,0,0.0,0,1,0,0,0,1,0
10001,876,0,0,0,0,0.0,0,0,0,0,0,0,0
10001,47,1,0,0,1,0.5,1,1,0,0,0,1,0
10001,365,3,1,3,1,1.0,1,3,0,0,1,1,1
10001,718,3,1,2,0,0.0,0,2,1,1,0,0,1
10001,475,1,0,0,0,0.0,0,1,0,1,0,0,0
10001,872,2,0,0,0,0.0,0,2,1,0,1,0,0
10001,655,2,0,0,0,0.0,0,2,0,1,1,0,0
10001,690,2,1,5,1,1.0,1,5,1,0,0,0,1
10001,813,1,0,0,0,0.0,0,1,0,0,1,0,0
10001,781,2,1,5,1,0.3333333333333333,1,5,1,0,0,1,0
10001,537,1,0,0,0,0.0,0,1,0,0,0,0,1
10001,946,3,1,2,1,1.0,1,2,0,1,1,0,1
10001,619,5,1,5,1,1.0,1,5,1,1,1,1,1
10002,340,1,0,0,1,0.5,1,1,0,0,0,1,0
10002,553,3,0,0,1,0.25,1,2,0,1,1,1,0
10002,19,3,1,2,1,0.25,1,2,0,1,1,0,1
10002,298,3,1,5,1,0.5,1,5,0,0,1,1,1
10002,434,3,1,4,1,0.5,1,4,1,1,0,0,1
10002,653,2,1,3,1,0.25,1,3,1,0,0,1,0
10002,207,1,0,0,0,0.0,0,1,0,0,0,0,1
10002,812,1,0,0,0,0.0,0,1,1,0,0,0,0
10002,492,1,0,0,0,0.0,0,1,0,0,0,1,0
10002,158,1,0,0,0,0.0,0,1,0,1,0,0,0
10002,844,2,0,0,0,0.0,0,2,1,0,0,0,1
10002,42,2,1,4,0,0.0,0,4,0,0,1,0,1
10002,241,1,0,0,0,0.0,0,1,0,0,1,0,0
10002,861,2,0,0,0,0.0,0,2,0,0,0,1,1
10002,743,2,1,2,1,0.5,1,2,0,1,1,0,0
10002,250,1,0,0,0,0.0,0,1,0,0,1,0,0
10002,184,3,1,5,1,0.25,1,5,0,1,0,1,1
10002,92,0,0,0,1,0.5,1,0,0,0,0,0,0
10003,803,0,0,0,0,0.0,0,0,0,0,0,0,0
10003,84,2,1,4,1,0.5,1,4,1,1,0,0,0
10003,932,0,0,0,1,0.5,1,0,0,0,0,0,0
10003,220,2,1,4,1,1.0,1,4,1,0,0,1,0
10003,976,1,0,0,0,0.0,0,1,1,0,0,0,0
10003,181,0,0,0,0,0.0,0,0,0,0,0,0,0
10003,189,2,1,5,1,0.3333333333333333,1,5,1,0,1,0,0
10003,93,3,1,5,1,1.0,1,5,0,0,1,1,1
10003,656,0,0,0,0,0.0,0,0,0,0,0,0,0
10003,743,2,1,4,0,0.0,0,4,1,0,1,0,0
10003,987,0,0,0,0,0.0,0,0,0,0,0,0,0
10003,902,3,1,3,0,0.0,0,3,1,0,0,1,1
10003,326,0,0,0,0,0.0,0,0,0,0,0,0,0
10003,977,2,0,0,1,0.5,1,2,0,0,1,1,0
10003,394,2,0,0,0,0.0,0,2,1,1,0,0,0
10003,333,1,0,0,0,0.0,0,1,0,0,0,0,1
10003,561,1,0,0,1,0.3333333333333333,1,1,0,0,1,0,0
10003,536,0,0,0,0,0.0,0,0,0,0,0,0,0
10004,565,2,1,3,1,0.5,1,3,0,0,0,1,1
10004,590,2,1,5,1,0.3333333333333333,1,5,0,0,1,1,0
10004,189,1,0,0,1,0.25,1,1,0,0,0,0,1
10004,395,2,0,0,1,0.5,1,2,1,0,0,1,0
10004,427,2,0,0,0,0.0,0,2,0,0,1,1,0
10004,777,2,1,1,0,0.0,0,2,0,0,1,1,0
10004,131,1,0,0,0,0.0,0,1,0,0,1,0,0
10004,891,2,0,0,0,0.0,0,2,1,1,0,0,0
10004,751,2,1,1,0,0.0,0,2,1,1,0,0,0
10004,526,1,0,0,1,0.25,1,1,0,0,0,0,1
10004,256,2,0,0,1,0.5,1,2,1,1,0,0,0
10004,480,1,0,0,1,0.5,1,1,0,0,0,0,1
10004,710,0,0,0,1,0.5,1,0,0,0,0,0,0
10004,521,1,0,0,0,0.0,0,1,0,0,0,0,1
10004,867,3,1,3,1,0.25,1,3,0,1,0,1,1
10004,424,2,0,0,0,0.0,0,2,0,0,0,1,1
10004,616,0,0,0,0,0.0,0,0,0,0,0,0,0
10004,127,1,0,0,1,0.25,1,1,1,0,0,0,0
10005,715,0,0,0,1,0.3333333333333333,1,0,0,0,0,0,0
10005,203,2,1,3,1,0.25,1,3,1,0,0,0,1
10005,110,0,0,0,0,0.0,0,0,0,0,0,0,0
10005,588,2,0,0,1,0.25,1,2,1,0,0,1,0
10005,427,0,0,0,0,0.0,0,0,0,0,0,0,0
10005,134,0,0,0,0,0.0,0,0,0,0,0,0,0
10005,622,2,0,0,0,0.0,0,2,1,0,1,0,0
10005,735,2,0,0,0,0.0,0,2,1,0,0,1,0
10005,939,2,1,3,1,0.25,1,3,0,0,0,1,1
10005,130,3,1,2,1,0.25,1,2,1,1,0,0,1
10005,356,5,1,4,2,1.0,1,4,1,1,1,1,1
10005,452,1,0,0,1,0.25,1,1,0,0,0,1,0
10005,52,3,1,4,1,0.3333333333333333,1,4,1,0,1,0,1
10005,166,3,0,0,1,0.25,1,2,0,1,0,1,1
10005,190,1,0,0,1,0.25,1,1,0,0,1,0,0
10005,816,4,0,0,1,0.5,1,3,1,0,1,1,1
10005,400,1,0,0,1,0.25,1,1,0,0,1,0,0
10005,541,1,0,0,0,0.0,0,1,0,1,0,0,0
10006,480,1,0,0,0,0.0,0,1,0,0,1,0,0
10006,475,4,1,3,1,0.3333333333333333,1,3,1,1,1,1,0
10006,82,2,0,0,1,0.3333333333333333,1,2,0,1,0,1,0
10006,26,2,1,5,1,0.3333333333333333,1,5,0,1,1,0,0
10006,801,3,1,5,1,1.0,1,5,1,0,1,1,0
10006,722,1,0,0,0,0.0,0,1,0,0,0,0,1
10006,734,1,0,0,0,0.0,0,1,0,0,1,0,0
10006,91,1,0,0,0,0.0,0,1,0,1,0,0,0
10006,282,2,1,2,0,0.0,0,2,0,0,0,1,1
10006,373,0,0,0,0,0.0,0,0,0,0,0,0,0
10006,858,1,0,0,0,0.0,0,1,0,1,0,0,0
10006,695,1,0,0,0,0.0,0,1,0,0,0,1,0
10006,932,0,0,0,0,0.0,0,0,0,0,0,0,0
10006,174,1,0,0,0,0.0,0,1,0,0,0,0,1
10006,710,1,0,0,1,1.0,1,1,0,1,0,0,0
10006,133,4,1,3,1,0.3333333333333333,1,3,1,1,1,0,1
10006,418,3,1,4,1,1.0,1,4,0,0,1,1,1
10006,451,2,1,3,1,0.5,1,3,0,0,0,1,1
10007,294,1,0,0,1,0.25,1,1,0,0,0,0,1
10007,77,3,1,4,0,0.0,0,4,1,1,1,0,0
10007,453,4,0,0,1,0.3333333333333333,1,3,1,1,0,1,1
10007,994,3,1,2,1,0.3333333333333333,1,2,0,1,1,0,1
10007,349,1,0,0,1,0.25,1,1,0,0,1,0,0
10007,444,4,1,4,1,0.3333333333333333,1,4,1,1,0,1,1
10007,590,0,0,0,0,0.0,0,0,0,0,0,0,0
10007,733,0,0,0,0,0.0,0,0,0,0,0,0,0
10007,681,2,0,0,0,0.0,0,2,0,0,0,1,1
10007,370,0,0,0,0,0.0,0,0,0,0,0,0,0
10007,646,2,1,3,0,0.0,0,3,0,0,1,1,0
10007,735,2,1,5,1,0.5,1,5,0,0,1,0,1
10007,939,3,0,0,0,0.0,0,2,0,1,0,1,1
10007,633,0,0,0,0,0.0,0,0,0,0,0,0,0
10007,127,1,0,0,0,0.0,0,1,0,0,0,1,0
10007,179,0,0,0,0,0.0,0,0,0,0,0,0,0
10007,808,1,0,0,0,0.0,0,1,0,0,0,1,0
10007,462,2,0,0,1,0.5,1,2,0,1,0,1,0
10008,82,3,1,5,1,0.25,1,5,1,1,0,1,0
10008,670,1,0,0,0,0.0,0,1,0,0,1,0,0
10008,574,1,0,0,1,0.3333333333333333,1,1,0,0,1,0,0
10008,482,0,0,0,0,0.0,0,0,0,0,0,0,0
10008,12,2,0,0,0,0.0,0,2,0,1,1,0,0
10008,655,0,0,0,0,0.0,0,0,0,0,0,0,0
10008,490,1,0,0,0,0.0,0,1,0,0,0,0,1
10008,249,1,0,0,0,0.0,0,1,0,0,0,1,0
10008,917,2,0,0,0,0.0,0,2,0,0,1,1,0
10008,911,2,0,0,0,0.0,0,2,0,0,1,1,0
10008,434,0,0,0,0,0.0,0,0,0,0,0,0,0
10008,133,2,0,0,1,0.25,1,2,0,1,1,0,0
10008,573,1,0,0,1,0.25,1,1,0,0,1,0,0
10008,53,1,0,0,0,0.0,0,1,0,0,1,0,0
10008,194,2,1,1,0,0.0,0,2,0,1,0,1,0
10008,90,1,0,0,0,0.0,0,1,0,0,1,0,0
10008,69,0,0,0,0,0.0,0,0,0,0,0,0,0
10008,15,3,1,4,1,0.25,1,4,1,1,0,0,1
10009,44,2,0,0,1,1.0,1,2,0,1,0,0,1
10009,932,1,0,0,1,0.5,1,1,0,0,0,0,1
10009,83,2,0,0,1,0.3333333333333333,1,2,1,1,0,0,0
10009,379,1,0,0,1,0.5,1,1,0,0,0,0,1
10009,551,2,1,2,1,0.3333333333333333,1,2,0,0,1,0,1
10009,154,1,0,0,1,0.3333333333333333,1,1,0,0,0,1,0
10009,110,1,0,0,0,0.0,0,1,1,0,0,0,0
10009,477,1,0,0,0,0.0,0,1,0,0,1,0,0
10009,845,0,0,0,0,0.0,0,0,0,0,0,0,0
10009,300,1,0,0,0,0.0,0,1,0,0,0,0,1
10009,29,2,0,0,0,0.0,0,2,1,0,1,0,0
10009,259,0,0,0,0,0.0,0,0,0,0,0,0,0
10009,85,1,0,0,0,0.0,0,1,0,0,1,0,0
10009,933,1,0,0,1,1.0,1,1,1,0,0,0,0
10009,918,0,0,0,0,0.0,0,0,0,0,0,0,0
10009,736,0,0,0,0,0.0,0,0,0,0,0,0,0
10009,187,2,0,0,1,0.3333333333333333,1,2,1,0,1,0,0
10009,690,2,1,5,1,1.0,1,5,0,0,1,0,1
10010,736,4,1,5,1,0.5,1,5,0,1,1,1,1
10010,996,0,0,0,0,0.0,0,0,0,0,0,0,0
10010,208,1,0,0,0,0.0,0,1,0,0,1,0,0
10010,771,2,0,0,0,0.0,0,2,0,0,0,1,1
10010,936,4,1,4,1,0.3333333333333333,1,4,1,1,0,1,1
10010,436,2,1,1,1,0.3333333333333333,1,2,0,0,1,1,0
10010,315,1,0,0,0,0.0,0,1,0,0,0,1,0
10010,272,1,0,0,0,0.0,0,1,0,0,0,1,0
10010,828,0,0,0,0,0.0,0,0,0,0,0,0,0
10010,316,0,0,0,0,0.0,0,0,0,0,0,0,0
10010,711,3,1,3,0,0.0,0,3,0,1,0,1,1
10010,223,2,0,0,0,0.0,0,2,1,0,0,0,1
10010,800,2,0,0,0,0.0,0,2,0,1,0,1,0
10010,260,0,0,0,0,0.0,0,0,0,0,0,0,0
10010,473,5,1,3,1,0.5,1,3,1,1,1,1,1
10010,424,1,0,0,1,1.0,1,1,0,0,0,1,0
10010,854,4,1,5,1,1.0,1,5,0,1,1,1,1
10010,249,1,0,0,0,0.0,0,1,1,0,0,0,0
10011,837,2,1,4,1,0.3333333333333333,1,4,0,1,0,1,0
10011,793,1,0,0,0,0.0,0,1,0,0,1,0,0
10011,627,4,1,4,1,0.25,1,4,0,1,1,1,1
10011,235,3,1,4,0,0.0,0,4,1,0,1,1,0
10011,560,1,0,0,0,0.0,0,1,0,0,1,0,0
10011,453,2,0,0,0,0.0,0,2,0,0,1,1,0
10011,394,0,0,0,0,0.0,0,0,0,0,0,0,0
